claim,fact-check agency,time,orginated,label,poynter_url
Nobel laureate and Japan’s renowned professor Tasuku Honjo has described coronavirus as unnatural. He has also said that this has been prepared in a lab in China.,Newschecker,2020/04/24 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=nobel-laureate-and-japans-renowned-professor-tasuku-honjo-has-described-coronavirus-as-unnatural-he-has-also-said-that-this-has-been-prepared-in-a-lab-in-china
Nobel laureate and Japan’s renowned professor Tasuku Honjo has described coronavirus as unnatural. He has also said that this has been prepared in a lab in China.,Newschecker,2020/04/24 ,India,FALSE,https://www.poynter.org/?ifcn_misinformation=nobel-laureate-and-japans-renowned-professor-tasuku-honjo-has-described-coronavirus-as-unnatural-he-has-also-said-that-this-has-been-prepared-in-a-lab-in-china-2
Coronavirus was created in a lab in China in 2013.,Décrypteurs - Radio-Canada,2020/04/23 ,Canada,Misleading,https://www.poynter.org/?ifcn_misinformation=coronavirus-was-created-in-a-lab-in-china-in-2013
Coronavirus was created in a lab in China.,Décrypteurs - Radio-Canada,2020/04/23 ,Canada,Partly false,https://www.poynter.org/?ifcn_misinformation=coronavirus-was-created-in-a-lab-in-china
Nobel Prize laureate claims the new coronavirus was created in a laboratory and it’s genome contained sequences of HIV.,Faktograf,2020/04/22 ,Croatia,FALSE,https://www.poynter.org/?ifcn_misinformation=nobel-prize-laureate-claims-the-new-coronavirus-was-created-in-a-laboratory-and-its-genome-contained-sequences-of-hiv
"Japanese Nobel Prize for Medicine Tasuku Honjo claimed on social media that coronavirus is not “natural”, and that China made it in a Wuhan lab where he worked for several years.",AFP,2020/04/22 ,"France, United States, Turkey",FALSE,https://www.poynter.org/?ifcn_misinformation=japanese-nobel-prize-for-medicine-tasuku-honjo-claimed-on-social-media-that-coronavirus-is-not-natural-and-that-china-made-it-in-a-wuhan-lab-where-he-worked-for-several-years
"“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak Hussein Obama in 2015 to the tune of $3,800,000 American dollars!”",PolitiFact,2020/04/22 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=president-trump-just-announced-that-the-biological-lab-in-wuhan-where-the-covid-19-virus-was-created-was-funded-by-president-barak-hussein-obama-in-2015-to
"“Hundreds and hundreds of labs are ready, willing, and able.”",PolitiFact,2020/04/20 ,United States,MOSTLY FALSE,https://www.poynter.org/?ifcn_misinformation=hundreds-and-hundreds-of-labs-are-ready-willing-and-able
"Dr. Deborah Birx, the coordinator of the coronavirus Reponse team in the Trump administration revealed the lack of coronavirus testing was because it was not profitable for private labs.",LeadStories,2020/04/20 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=dr-deborah-birx-the-coordinator-of-the-coronavirus-reponse-team-in-the-trump-administration-revealed-the-lack-of-coronavirus-testing-was-because-it-was-not-profitable-for-private-labs
President Donald Trump said former President Obama funded the coronavirus that was creatical in biological Wuhan lab.,LeadStories,2020/04/20 ,United States,FALSE,https://www.poynter.org/?ifcn_misinformation=president-donald-trump-said-former-president-obama-funded-the-coronavirus-that-was-creatical-in-biological-wuhan-lab
Claim that the Washington Post confirmed that coronavirus patient zero was a worker from the Wuhan Laboratory.,Newtral.es,2020/04/18 ,Spain,FALSE,https://www.poynter.org/?ifcn_misinformation=claim-that-the-washington-post-confirmed-that-coronavirus-patient-zero-was-a-worker-from-the-wuhan-laboratory
WhatsApp messages that claim that the Washington Post has confirmed that the origin of SARS-CoV-2 is due to a security breach in a laboratory in Wuhan.,Maldita.es,2020/04/18 ,"Spain, United States",FALSE,https://www.poynter.org/?ifcn_misinformation=whatsapp-messages-that-claim-that-the-washington-post-has-confirmed-that-the-origin-of-sars-cov-2-is-due-to-a-security-breach-in-a-laboratory-in-wuhan
"SARS-CoV-2 has insertions of HIV which means the virus was fabricated in a laboratory, according to Luc Montagnier.",Correctiv,2020/04/18 ,Germany,FALSE,https://www.poynter.org/?ifcn_misinformation=sars-cov-2-has-insertions-of-hiv-which-means-the-virus-was-fabricated-in-a-laboratory-according-to-luc-montagnier
"Luc Montagnier, a Nobel prize winner, claims that Sars-Cov-2 was made in the laboratory to create an HIV vaccine.",Open,2020/04/17 ,Italy,FALSE,https://www.poynter.org/?ifcn_misinformation=luc-montagnier-a-nobel-prize-winner-claims-that-sars-cov-2-was-made-in-the-laboratory-to-create-an-hiv-vaccine
Various claims that “the virus was made in a Chinese laboratory”.,CheckNews,2020/04/17 ,France,Misleading,https://www.poynter.org/?ifcn_misinformation=various-claims-that-the-virus-was-made-in-a-chinese-laboratory
